Date,Local Time,Home Team Id,Away Team Id
20220226,1600,130404,130402
20220226,1600,112875,115526
20220226,1600,112602,112858
20220226,1600,114797,113014
20220226,1600,111153,130419
20220226,1600,111137,113039
20220226,1600,113887,112732
20220226,1600,113919,112831
20220226,1600,116408,113150
20220226,1600,112607,112869
20220226,1600,130400,115243
20220226,1600,112605,115156
20220226,1600,113178,130406
20220305,1600,113039,130404
20220305,1600,130402,111153
20220305,1600,130419,114797
20220305,1600,113014,112602
20220305,1600,112858,112875
20220305,1600,115526,113887
20220305,1600,112732,111137
20220305,1600,112831,112605
20220305,1600,115156,130400
20220305,1600,115243,112607
20220305,1600,112869,116408
20220305,1600,113150,113178
20220305,1600,130406,113013
20220312,1600,114797,130402
20220312,1600,111137,115526
20220312,1600,113887,112858
20220312,1600,112875,113014
20220312,1600,112602,130419
20220312,1600,112732,113039
20220312,1600,111153,130404
20220312,1600,130400,112831
20220312,1600,113013,113150
20220312,1600,113178,112869
20220312,1600,116408,115243
20220312,1600,112607,115156
20220312,1600,112605,113919
20220319,1600,113039,111153
20220319,1600,130404,114797
20220319,1600,130402,112602
20220319,1600,130419,112875
20220319,1600,113014,113887
20220319,1600,112858,111137
20220319,1600,115526,112732
20220319,1600,113919,130400
20220319,1600,112831,112607
20220319,1600,115156,116408
20220319,1600,115243,113178
20220319,1600,112869,113013
20220319,1600,113150,130406
20220402,1600,112831,130402
20220402,1600,113150,115526
20220402,1600,112869,112858
20220402,1600,115243,113014
20220402,1600,115156,130419
20220402,1600,113919,130404
20220402,1600,112605,111153
20220402,1600,130400,114797
20220402,1600,112607,112602
20220402,1600,116408,112875
20220402,1600,113178,113887
20220402,1600,113013,111137
20220402,1600,130406,112732
20220409,1600,130404,112831
20220409,1600,112858,113150
20220409,1600,113014,112869
20220409,1600,130419,115243
20220409,1600,113039,115156
20220409,1600,111153,113919
20220409,1600,114797,112605
20220409,1600,112602,130400
20220409,1600,112875,112607
20220409,1600,113887,116408
20220409,1600,111137,113178
20220409,1600,112732,113013
20220409,1600,115526,130406
20220416,1600,112875,130402
20220416,1600,112732,112858
20220416,1600,111137,113014
20220416,1600,113887,130419
20220416,1600,115526,113039
20220416,1600,112602,130404
20220416,1600,114797,111153
20220416,1600,116408,112831
20220416,1600,130406,112869
20220416,1600,113013,115243
20220416,1600,113178,115156
20220416,1600,112607,113919
20220416,1600,130400,112605
20220423,1600,112858,115526
20220423,1600,113039,114797
20220423,1600,111153,112602
20220423,1600,130404,112875
20220423,1600,130402,113887
20220423,1600,130419,111137
20220423,1600,113014,112732
20220423,1600,112869,113150
20220423,1600,112605,112607
20220423,1600,113919,116408
20220423,1600,112831,113178
20220423,1600,115156,113013
20220423,1600,115243,130406
20220430,1600,112602,115526
20220430,1600,114797,112858
20220430,1600,111153,113014
20220430,1600,130404,130419
20220430,1600,130402,113039
20220430,1600,113887,111137
20220430,1600,112875,112732
20220430,1600,112607,113150
20220430,1600,130400,112869
20220430,1600,112605,115243
20220430,1600,113919,115156
20220430,1600,113178,113013
20220430,1600,116408,130406
20220507,1600,111137,130402
20220507,1600,115526,113014
20220507,1600,112732,130419
20220507,1600,112858,113039
20220507,1600,113887,130404
20220507,1600,112875,111153
20220507,1600,112602,114797
20220507,1600,113013,112831
20220507,1600,113150,115243
20220507,1600,130406,115156
20220507,1600,113178,113919
20220507,1600,116408,112605
20220507,1600,112607,130400
20220514,1600,115156,130402
20220514,1600,113013,115526
20220514,1600,130406,112858
20220514,1600,113150,113014
20220514,1600,112869,130419
20220514,1600,115243,113039
20220514,1600,112831,111153
20220514,1600,113919,114797
20220514,1600,112605,112602
20220514,1600,130400,112875
20220514,1600,112607,113887
20220514,1600,116408,111137
20220514,1600,113178,112732
20220521,1600,114797,112831
20220521,1600,130419,113150
20220521,1600,113039,112869
20220521,1600,130402,115243
20220521,1600,130404,115156
20220521,1600,112602,113919
20220521,1600,112875,112605
20220521,1600,113887,130400
20220521,1600,111137,112607
20220521,1600,112732,116408
20220521,1600,115526,113178
20220521,1600,112858,113013
20220521,1600,113014,130406
20220528,1600,130419,115526
20220528,1600,113014,112858
20220528,1600,113039,112602
20220528,1600,114797,112875
20220528,1600,111153,113887
20220528,1600,130404,111137
20220528,1600,130402,112732
20220528,1600,115156,113150
20220528,1600,115243,112869
20220528,1600,130400,116408
20220528,1600,112605,113178
20220528,1600,113919,113013
20220528,1600,112831,130406
20220604,1600,113014,130402
20220604,1600,130419,113039
20220604,1600,112858,130404
20220604,1600,115526,111153
20220604,1600,112732,114797
20220604,1600,111137,112602
20220604,1600,113887,112875
20220604,1600,115243,112831
20220604,1600,112869,113919
20220604,1600,113150,112605
20220604,1600,130406,130400
20220604,1600,113013,112607
20220604,1600,113178,116408
20220611,1600,112831,113039
20220611,1600,130400,130404
20220611,1600,130406,114797
